ANIO,MES,PLACA,OFICINA,SERIE,USO,CLASEAAP,SUBCLASE,CARROCERIA,MARCA,MODELO,ORIGEN,COMBUSTIBLE,FORMULA,PBV,ASIENTOS,ANIOFAB
2019,FEBRERO,T9V884,TRUJILLO,1M1AN4HY0KM001474,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,AZK886,LIMA,1M1AN4HY9KM001392,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,T9V878,TRUJILLO,1M1AN4HY4KM001462,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,T9V875,TRUJILLO,1M1AN4HY9KM001280,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,AZJ892,LIMA,1M1AN4HY2KM001315,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,AZJ853,LIMA,1M1AN4HY3KM001310,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,AZJ847,LIMA,1M1AN4HY6KM001365,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,AZJ915,LIMA,1M1AN4HYXKM001398,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,AZK743,LIMA,1M1AN4HY4KM001316,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,FEBRERO,AZL840,LIMA,1M1AW07Y5JM088827,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,CXU613E,UNITED STATES,DIESEL,6X4,26600,2,2018
2019,ENERO,AZG869,LIMA,1M1AN4HY3KM001355,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,ENERO,AZG767,LIMA,1M1AN4HY4KM001364,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,ENERO,T9U917,TRUJILLO,1M1AN4HY0KM001362,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,ENERO,T9U899,TRUJILLO,1M1AN4HY9KM001358,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,ENERO,AZE746,LIMA,1M1AN4HYXKM001370,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,ENERO,AZE721,LIMA,1M1AN4HYXKM001305,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,ENERO,V0F753,AREQUIPA,1M1AN4HY8KM001299,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,ENERO,AZD725,LIMA,1M1AN4HY0KM001278,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,AN64TX,UNITED STATES                                               ,DIESEL,6X4,27600,2,2019
2019,ENERO,AZH730,LIMA,1M1AW07Y7JM088828,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,TRACTOCAMIONES,REMOLCADOR,MACK,CXU613E,UNITED STATES,DIESEL,6X4,26600,2,2018
2019,ABRIL,BAI792,LIMA,JPCYAX0A5JT022237,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER,SWEDEN                                                      ,DIESEL,4X2,11500,2,2018
2019,ABRIL,AZZ795,LIMA,JPCYAX0AXJT022234,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER,SWEDEN                                                      ,DIESEL,4X2,11500,2,2018
2019,ABRIL,AZZ882,LIMA,JPCYZ40A5JT023234,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER,THAILAND                                                    ,DIESEL,4X2,17000,3,2018
2019,ABRIL,AZZ794,LIMA,JPCYZ40A3JT022440,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER PKE,THAILAND                                                    ,DIESEL,4X2,17000,2,2018
2019,ABRIL,BAC838,LIMA,JPCYAX0A3JT022432,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER MKE,THAILAND                                                    ,DIESEL,4X2,11500,2,2018
2019,ABRIL,BAB909,LIMA,JPCYAX0A1JT022431,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER MKE,THAILAND                                                    ,DIESEL,4X2,11500,2,2018
2019,ABRIL,BAB713,LIMA,JPCYAX0A4JT022441,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER MKE,THAILAND                                                    ,DIESEL,4X2,11500,2,2018
2019,MARZO,AZY736,LIMA,JPCYAX0A7JT023244,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER MKE,THAILAND                                                    ,DIESEL,4X2,11500,3,2018
2019,MARZO,AZV931,LIMA,JPCYAX0A3JT023225,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER MKE,THAILAND                                                    ,DIESEL,4X2,11500,3,2018
2019,MARZO,AZV734,LIMA,JPCYAX0A7JT023230,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER MKE,THAILAND                                                    ,DIESEL,4X2,11500,3,2018
2019,MARZO,AZS823,LIMA,JPCYAX0A1JT023210,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER MKE,THAILAND                                                    ,DIESEL,4X2,11500,3,2018
2019,MARZO,AZQ838,LIMA,JPCYAX0A9JT023228,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER MKE,THAILAND                                                    ,DIESEL,4X2,11500,3,2018
2019,MARZO,AZW839,LIMA,JPCYAX0AXJT022444,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER MKE,THAILAND                                                    ,DIESEL,4X2,11500,2,2018
2019,MARZO,AZW828,LIMA,JPCYAX0A9JT022449,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER MKE,THAILAND                                                    ,DIESEL,4X2,11500,2,2018
2019,FEBRERO,AZP747,LIMA,JPCYAX0A1JT022445,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER MKE,THAILAND                                                    ,DIESEL,4X2,11500,2,2018
2019,FEBRERO,AZM855,LIMA,JPCYAX0A3JT022446,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER MKE,THAILAND                                                    ,DIESEL,4X2,11500,2,2018
2019,FEBRERO,AZP818,LIMA,JPCYAX0A6JT023218,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER,THAILAND                                                    ,DIESEL,4X2,11500,3,2018
2019,FEBRERO,AZO878,LIMA,JPCYAX0AXJT023223,Vehiculos Motorizados para el Transportes de mercancias (Categoria N),CAMIONES Y TRACTO,CAMIONES,CABINADO,UD,CRONER,THAILAND                                                    ,DIESEL,4X2,11500,3,2018
