AÑO;MARCA;MODELO;CAMIONES/ TRACTO;CARROCERIA;AÑO FAB;P.BRUTO;ORIGEN;FORMULA RODANTE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;TTL;PER - Origen  de Marca;TYPE;"VOLVO / MACK 
SEGMENTATION";PER - CLAS. FINAL;"CODIGO 
VINCULADOR
(APLICATION SEGMENT)";"APLICATION
SEGMENTS"
2013;VOLVO;FMX 6X4T;TRACTOCAMIONES;REMOLCADOR;2012;28000;BRASIL;6X4;0;0;0;0;0;0;0;0;0;0;0;1;1;Europea;TRACTO;APLICA;HDV;VOLVO FMX 6X4THDV6X4;Heavy Transport
2013;VOLVO;FMX 6X4T;TRACTOCAMIONES;REMOLCADOR;2012;28000;BRASIL;6X4;1;0;0;0;0;0;0;0;0;0;0;0;1;Europea;TRACTO;APLICA;HDV;VOLVO FMX 6X4THDV6X4;Heavy Transport
2013;VOLVO;FMX 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28000;BRASIL;6X4;0;0;0;0;0;0;0;0;0;0;0;2;2;Europea;TRACTO;APLICA;HDV;VOLVO FMX 6X4THDV6X4;Heavy Transport
2013;VOLVO;FMX 6X4T;TRACTOCAMIONES;REMOLCADOR;2013;28000;BRASIL;6X4;0;0;2;0;0;1;0;0;3;1;0;0;7;Europea;TRACTO;APLICA;HDV;VOLVO FMX 6X4THDV6X4;Heavy Transport
2013;VOLVO;FMX 6X6R;CAMIONES;CABINADO;2012;34000;SUECIA;6X6;2;0;0;0;0;0;0;0;0;0;0;0;2;Europea;RIGID;APLICA;HDV;VOLVO FMX 6X6RCABINADO6X6HDV;Heavy Construction and Mining
2013;VOLVO;FMX 6X6R;CAMIONES;CABINADO;2013;34000;SUECIA;6X6;0;0;0;0;0;0;0;0;0;1;0;0;1;Europea;RIGID;APLICA;HDV;VOLVO FMX 6X6RCABINADO6X6HDV;Heavy Construction and Mining
2013;VOLVO;FMX 8X4R;CAMIONES;CABINADO;2012;50000;BRASIL;8X4;0;0;0;0;0;0;0;0;0;0;0;13;13;Europea;RIGID;APLICA;HDV;VOLVO FMX 8X4RCABINADO8X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 8X4R;CAMIONES;CABINADO;2012;50000;BRASIL;8X4;30;8;6;32;1;0;2;0;0;1;0;0;80;Europea;RIGID;APLICA;HDV;VOLVO FMX 8X4RCABINADO8X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 8X4R;CAMIONES;CABINADO;2013;50000;BRASIL;8X4;0;0;0;0;0;0;0;0;0;0;13;6;19;Europea;RIGID;APLICA;HDV;VOLVO FMX 8X4RCABINADO8X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 8X4R;CAMIONES;CABINADO;2013;50000;BRASIL;8X4;0;3;0;2;13;1;5;11;5;3;0;0;43;Europea;RIGID;APLICA;HDV;VOLVO FMX 8X4RCABINADO8X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX 8X4R;CAMIONES;CABINADO;2013;50000;SUECIA;8X4;0;0;0;0;0;1;2;0;5;1;0;0;9;Europea;RIGID;APLICA;HDV;VOLVO FMX 8X4RCABINADO8X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX11 6X4R ;CAMIONES;CABINADO;2012;34000;BRASIL;6X4;0;0;0;0;0;0;0;0;0;0;2;0;2;Europea;RIGID;APLICA;HDV;VOLVO FMX11 6X4R CABINADO6X4HDV;Heavy Construction and Mining
2013;VOLVO;FMX11 6X4R ;CAMIONES;CABINADO;2012;34000;BRASIL;6X4;0;2;0;0;0;0;0;2;0;0;0;0;4;Europea;RIGID;APLICA;HDV;VOLVO FMX11 6X4R CABINADO6X4HDV;Heavy Construction and Mining
2013;VOLVO;FH 6X4T;TRACTOCAMIONES;REMOLCADOR;2011;25000;BRASIL;6X4;0;0;1;0;0;0;0;0;0;0;0;0;1;Europea;TRACTO;APLICA;HDV;VOLVO FH 6X4THDV6X4;Demanding Long Haul
2013;VOLVO;VM 4X2R;CAMIONES;CABINADO;2012;16800;BRASIL;4X2;0;0;0;0;0;0;0;0;0;0;1;0;1;Europea;RIGID;APLICA;MHDV;VOLVO VM 4X2RCABINADO4X2MHDV;Distribution
2013;VOLVO;VM 4X2R;CAMIONES;CABINADO;2012;16800;BRASIL;4X2;3;5;1;3;0;1;0;0;0;0;0;0;13;Europea;RIGID;APLICA;MHDV;VOLVO VM 4X2RCABINADO4X2MHDV;Distribution
2013;VOLVO;VM 4X2R;CAMIONES;CABINADO;2013;16800;BRASIL;4X2;0;0;0;0;0;0;0;0;0;2;0;0;2;Europea;RIGID;APLICA;MHDV;VOLVO VM 4X2RCABINADO4X2MHDV;Distribution
2013;VOLVO;VM 6X2R;CAMIONES;CABINADO;2012;24000;BRASIL;6X2;2;1;1;0;0;0;0;0;0;0;0;0;4;Europea;RIGID;APLICA;MHDV;VOLVO VM 6X2RCABINADO6X2MHDV;Regional
2013;VOLVO;VM 6X2R;CAMIONES;CABINADO;2013;24000;BRASIL;6X2;0;0;0;0;3;4;3;1;0;1;0;0;12;Europea;RIGID;APLICA;MHDV;VOLVO VM 6X2RCABINADO6X2MHDV;Regional
2013;VOLVO;VM 6X4R;CAMIONES;CABINADO;2012;26,700;BRASIL;6X4;0;0;0;0;0;0;0;0;0;0;0;1;1;Europea;RIGID;APLICA;MHDV;VOLVO VM 6X4RCABINADO6X4MHDV;Regional
2013;VOLVO;VM 6X4R;CAMIONES;CABINADO;2012;26,700;BRASIL;6X4;2;0;2;2;1;0;3;0;0;1;0;0;11;Europea;RIGID;APLICA;MHDV;VOLVO VM 6X4RCABINADO6X4MHDV;Regional
