ANIO;MARCA;MODELO;CAMIONES_TRACTO;CARROCERIA;ANIOFAB;PESOBRUTO;FORMULA_RODANTE;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;TTL;ORIGEN;TIPO;CLASE_FINAL
2013;VOLVO;VM 4X2R;CAMIONES;CABINADO;2012;16800;4X2;0;0;0;0;0;0;0;0;0;0;1;0;1;Europea;RIGID;MHDV
2013;VOLVO;VM 4X2R;CAMIONES;CABINADO;2012;16800;4X2;3;5;1;3;0;1;0;0;0;0;0;0;13;Europea;RIGID;MHDV
2013;VOLVO;VM 4X2R;CAMIONES;CABINADO;2013;16800;4X2;0;0;0;0;0;0;0;0;0;2;0;0;2;Europea;RIGID;MHDV
2013;VOLVO;VM 6X2R;CAMIONES;CABINADO;2012;24000;6X2;2;1;1;0;0;0;0;0;0;0;0;0;4;Europea;RIGID;MHDV
2013;VOLVO;VM 6X2R;CAMIONES;CABINADO;2013;24000;6X2;0;0;0;0;3;4;3;1;0;1;0;0;12;Europea;RIGID;MHDV
2013;VOLVO;VM 6X4R;CAMIONES;CABINADO;2012;26,700;6X4;0;0;0;0;0;0;0;0;0;0;0;1;1;Europea;RIGID;MHDV
2013;VOLVO;VM 6X4R;CAMIONES;CABINADO;2012;26,700;6X4;2;0;2;2;1;0;3;0;0;1;0;0;11;Europea;RIGID;MHDV
2013;VOLVO;VM 6X4R;CAMIONES;CABINADO;2013;26,700;6X4;0;0;0;0;0;0;0;0;0;0;1;1;2;Europea;RIGID;MHDV
2013;VOLVO;VM 6X4R;CAMIONES;CABINADO;2013;26,700;6X4;0;0;0;3;4;1;1;3;3;4;0;0;19;Europea;RIGID;MHDV
2013;VOLKSWAGEN;13.18;CAMIONES;CISTERNA;2012;12900;4X2;0;0;0;0;39;0;0;0;0;0;0;0;39;Europea;RIGID;MDV
2013;VOLKSWAGEN;15.18;CAMIONES;CABINADO;2011;14500;4X2;0;0;0;0;0;1;0;0;0;0;0;0;1;Europea;RIGID;MDV
2013;VOLKSWAGEN;15.18;CAMIONES;CABINADO;2011;14500;4X2;0;2;1;0;1;0;0;0;0;0;0;0;4;Europea;RIGID;MDV
2013;VOLKSWAGEN;15.18;CAMIONES;CABINADO;2012;14500;4X2;24;3;1;3;6;1;0;0;0;0;0;0;38;Europea;RIGID;MDV
2013;VOLKSWAGEN;15.18;CAMIONES;CABINADO;2013;14500;4X2;0;0;0;0;0;0;0;0;0;0;21;0;21;Europea;RIGID;MDV
2013;VOLKSWAGEN;15.18;CAMIONES;FURGON;2012;14500;4X2;1;0;0;0;0;0;0;0;0;0;0;0;1;Europea;RIGID;MDV
2013;VOLKSWAGEN;15.18;CAMIONES;CABINADO;2012;14500;4X2;0;0;0;0;0;0;0;0;0;0;0;1;1;Europea;RIGID;MDV
2013;VOLKSWAGEN;15.18;CAMIONES;CABINADO;2012;14500;4X2;3;0;0;0;0;0;0;0;0;0;0;0;3;Europea;RIGID;MDV
2013;VOLKSWAGEN;15.18;CAMIONES;CABINADO;2013;14500;4X2;0;0;0;0;0;0;0;0;0;0;0;3;3;Europea;RIGID;MDV
2013;VOLKSWAGEN;17.22;CAMIONES;BARANDA;2013;17100;4X2;0;0;0;0;0;0;0;0;0;1;0;0;1;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.22;CAMIONES;CABINADO;2011;17100;4X2;0;0;0;0;0;3;2;0;0;0;0;0;5;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.22;CAMIONES;CABINADO;2012;17100;4X2;0;0;0;0;0;0;0;0;0;0;0;5;5;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.22;CAMIONES;CABINADO;2012;17100;4X2;0;0;0;0;0;0;0;2;0;0;0;0;2;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.22;CAMIONES;CABINADO;2012;17100;4X2;0;0;0;0;0;0;0;0;0;1;0;0;1;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.22;CAMIONES;CABINADO;2011;17100;4X2;1;1;0;0;1;0;0;0;0;0;0;0;3;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.22;CAMIONES;CABINADO;2012;17100;4X2;0;0;0;0;0;0;0;0;0;0;2;0;2;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.22;CAMIONES;CABINADO;2012;17100;4X2;2;0;3;2;2;6;3;1;9;0;0;0;28;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.22;CAMIONES;CABINADO;2013;17100;4X2;0;0;0;0;0;0;0;0;0;0;28;0;28;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.22;CAMIONES;CABINADO;2013;17100;4X2;0;0;0;0;0;0;0;0;0;3;0;0;3;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.22;CAMIONES;CAMION;2012;17100;4X2;3;0;0;0;0;0;0;1;0;1;0;0;5;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.22;CAMIONES;COMPACTADOR;2011;17100;4X2;0;0;0;0;0;1;0;0;0;0;0;0;1;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.22;CAMIONES;GRUA;2013;17100;4X2;0;0;0;0;0;0;0;1;0;0;0;0;1;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.250E;CAMIONES;COMPACTADOR;2013;17100;4X2;0;0;0;0;0;0;0;8;0;0;0;0;8;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.250E;CAMIONES;BARANDA;2013;17100;4X2;0;0;0;0;0;0;0;0;0;1;0;0;1;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.250E;CAMIONES;BARANDA;2013;17100;4X2;0;0;0;0;0;0;0;0;0;1;0;0;1;Europea;RIGID;MHDV
2013;VOLKSWAGEN;17.250E;CAMIONES;CABINADO;2011;17100;4X2;0;0;0;0;0;0;1;0;0;0;0;0;1;Europea;RIGID;MHDV
