ANIO;MES;OFICINA;CHASIS;CLASE;SUBCLASE;CARROCERIA;MARCA;MODELO;ORIGEN;FORMULARODANTE; PBV ;FABRICACION
2019;ABRIL;LIMA;387788;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2 ;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387777;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2 ;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387786;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2 ;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387781;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2 ;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387783;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2 ;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387773;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2 ;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387782;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2 ;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387780;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2 ;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387776;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2 ;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;AREQUIPA;828906;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FMX 6X6T;SWEDEN                                                      ;6X6;41,000;2018
2019;ABRIL;LIMA;387793;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387794;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387795;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387787;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387791;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387785;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387790;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387792;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;387789;MINIBUS,OMNIBUS;BUSES Y CHASISES;OMNIBUS INTERURBANO;VOLVO;B450R 6X2;BRAZIL                                                      ;6X2;26,500;2019
2019;ABRIL;LIMA;828987;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FM11 4X2T;SWEDEN                                                      ;4X2;20,100;2018
2019;ABRIL;LIMA;830631;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FM11 4X2T;SWEDEN                                                      ;4X2;20,100;2018
2019;ABRIL;LIMA;834549;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FM11 4X2T;SWEDEN                                                      ;4X2;20,100;2018
2019;ABRIL;TRUJILLO;836052;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FM11 4X2T;SWEDEN                                                      ;4X2;20,100;2018
2019;ABRIL;LIMA;860638;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FM 6X4T;BRAZIL                                                      ;6X4;28,500;2018
2019;ABRIL;LIMA;858581;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FM 6X4T;BRAZIL                                                      ;6X4;28,500;2018
2019;ABRIL;AREQUIPA;860134;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;BRAZIL                                                      ;6X4;28,100;2018
2019;ABRIL;LIMA;859265;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;BRAZIL;6X4;28,100;2018
2019;ABRIL;LIMA;859263;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;BRAZIL;6X4;28,100;2018
2019;ABRIL;LIMA;861441;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;BRAZIL                                                      ;6X4;28,100;2018
